S.No,Unique ID,Stretch,Scheme,Package,SPV/Company,Company CIN,Developer,Developer CIN,State,Mode,Project Status,NH/SH,NH/SH No,Phase,Lane,Stretch (Kms),Lane Kilometer,RFP,RFQ,Letter Of Award,Concession Period (Years),Construction Period (Months),Concession Agreement Signed,Financial Closure,Construction Commencement,Scheduled Project Completion,Anticipated Completion,Provisional Commercial Operation Date,Actual Completion,Basis Of Award,Annuity (Rs.Cr),Grant (Rs.Cr),Negative Grant (Rs.Cr),Project Cost (Rs.Cr),Revised Project Cost (Rs.Cr),Dev Cost (Rs.Cr),Equity (Rs.Cr),Long Term Loan (Rs.Cr),Debt (Rs.Cr),Incremental Cost (Rs.Cr),TPC per km (Rs.Cr),Time Overrun (Months),Independent Engineer,Other members,Remarks,Project Name
1,N/06016/01001/KA,Aurad - Bidar,Bharatmala Pariyojana,,,,RMN Infrastructures Ltd,U45400TG2007PLC054940,Karnataka,EPC,Under implementation,National Highway,161 A,Phase - 1,2(PS),45.878,,Jan-2020,,Dec-2020,7,24,Jan-2021,,Sep-2021,Sep-2023,Jan-2025,,,,0.00,0.00,0.00,264.26,424.16,0.00,0.00,0.00,0.00,,9.25,18,"Voyants Solution Pvt. Ltd.,Technocrats Advisory Services Pvt. Ltd. (JV)",,Design (km 0.000 - km 45.878);,"2L with paved shoulder from km. 0.000 to km. 45.878 of Aurad - Bidar Section of NH-161A on EPC Mode under Bharatmala Pariyojna in the state of Karnataka On Engineering, Procurement & Construction (EPC) Mode."
2,N/09032/01001/KA,Bijapur - Gulbarga - Homnabad,NHDP,,,,L&T Infrastructure Development Projects Ltd,U65993TN2001PLC046691,Karnataka,EPC,Completed,National Highway,50 (Old 218),IV,2,220.1,440.2,,,Jan-2015,,30,Jan-2015,,Mar-2015,Sep-2017,Sep-2019,Sep-2019,Sep-2019,,0.00,0.00,0.00,559.71,0.00,934.47,0.00,0.00,0.00,374.76,2.54,24,"L.N. Malviya infra projects Pvt Ltd,Highway Engineering Consultant",,"Design (km 195.000 - km 418.000);
PCOD - September 2019;",2L with PS of Bijapur - Gulbarga - Homnabad Section of NH-218
3,N/08007/03001/KA,Hungund - Hospet,NHDP,,OSE Hungund Hospet Highways Pvt Ltd,U45201DL2010PTC313953,GMR Infrastructure Ltd,,Karnataka,PPP BOT - Toll,Completed,National Highway,50,,4,97.87,391.48,,,Feb-2010,20,30,Mar-2010,Sep-2010,Sep-2010,Mar-2013,,,May-2014,Grant,0.00,340.92,0.00,340.92,0.00,946.00,230.00,0.00,1080.00,605.08,3.48,14,L.N. Malviya infra projects Pvt. Ltd.,Oriental Structural Engineers Pvt Ltd,"Design (km 323.000 - km 420.000); PCOD MAY 2014;
",4/6 Laning of Hungund - Hospet from km. 323.00 to km. 420.00 o fOld NH-13 (NH-50)
4,N/02002/13001/KA,Hubli - Dharwad Bypass,Bharatmala Pariyojana,,,,APS Hydro Pvt Ltd,U45203DL2003PTC119375,Karnataka,EPC,Under implementation,National Highway,4,Phase - 1,4/6,30.35,,Jan-2022,,Jul-2022,7.5,30,Dec-2022,,Mar-2023,Sep-2025,Sep-2025,,,,0.00,0.00,0.00,579.95,1135.39,0.00,0.00,0.00,0.00,,37.41,NA,"LN Malviya Infra Projects Pvt Ltd,Intratech Civil Solutions & Consultant",R & C Infra Engineers Pvt Ltd,Design (km 403.80 - km 433.20);,4/6L of Bangalore - Pune Section of bypass connecting Dharwad - Hubli from km. 403.80 to km. 433.20
5,N/02013/11001/KL,Thrissur - Angamali,NHDP ,BOT/KL/01,Guruvayoor Infrastructure Pvt Ltd,U45200WB2005PTC249104,Bharat Road Network Ltd,,Kerala,PPP BOT - Toll,Completed,National Highway,544,II,4,65.3,261.2,May-2005,,Sep-2005,20,30,Mar-2006,Oct-2006,Sep-2006,Mar-2009,,,Nov-2011,Negative Grant,0.00,0.00,84.40,312.54,379.54,726.00,168.90,360.00,360.00,413.46,5.81,32,"ICT-Feedback JV during construction,MSV International Inc. during O&M",,"Design (km 270.000 - km 316.700);
The SPV company was first a consortium between KMC Infra & SREI wherein, Bharat Road Network Limited bought the 100 percent stakes later;",4/6 L Thrissur (km 270) to Angamali (km 316.700) i/c Maintenance of Angamali (km 316.700) to Edapally (km 342) Section NS-2/BOT/KL/01
6,N/08002/05002/TS,Pangidipalle - Oorugonda,NH (O),Mancherial Warangal Greenfield (Package - 3),MEIL Oorugonda Roadways Pvt Ltd,U42101TS2023PTC172540,Megha Engineering & Infrastructures Ltd,,Telangana,PPP HAM,Under implementation,National Highway,163 G,,4,39.89,159.56,Nov-2022,,Mar-2023,,24,Jul-2023,,,,,,,,0.00,0.00,0.00,829.21,1183.71,0.00,0.00,0.00,0.00,,29.67,,"Voyants Solutions Private Limited in (JV),M/sK & J projects Pvt. Ltd.",,Design (km 72.350 - km 112.240);,4L Access Controlled Greenfield Highway Section (Mancherial – Warangal) from Pangidipalle village at Design Ch. 72.350 Km to Oorugonda village at Design Ch. 112.240 Km(Package-III)
7,N/08002/08002/AP,Remidicherla - Jakkampudi,NH (O),Khammam - Vijayawada (Package - 3),Meil Jakkampudi Roadways Pvt Ltd,U42101TS2023PTC172559,Megha Engineering & Infrastructures Ltd,,"Andhra Pradesh,Telangana",PPP HAM,Under implementation,National Highway,163 G,,4,29.709,118.836,Dec-2022,,Mar-2023,,,May-2023,,,,,,,,0.00,0.00,0.00,745.83,1183.23,0.00,0.00,0.00,0.00,,39.83,,,,Design (km 280.200 - km 309.909);,4L Access Controlled Greenfield Highway Section On Nh-163G (Khammam – Vijayawada) From Remidicherla Village At Design Ch. 280.200 Km To Jakkampudi Village (On Nh-16) At Design Ch. 309.9
8,N/08002/06005/TS,Oorugonda - Venkatpur,NH (O),Warangal - Khammam (Package - 1),,,Megha Engineering & Infrastructures Ltd,U45202TG2006PLC050271,Telangana,EPC,Under implementation,National Highway,163 G,,4,38,152,Dec-2022,,Mar-2023,,,May-2023,,,,,,,,0.00,0.00,0.00,774.89,0.00,0.00,0.00,0.00,0.00,,20.39,,"Chaitanya Projects Consultancy Private Limited,M/s Armenge Engineering Private Limited in Association with M/sRuky Projects Private Limited",,Design (km 112.240 - km 150.240);,4L Access Controlled Greenfield Highway section on NH163G (Warangal-Khammam) from Oorugonda village in Hanamkonda District at Design Ch. 112.240Km to Venkatpur village in Warangal District at Design Ch. 150.240 Km(Package-I)
9,N/08002/06007/TS,Thallasenkesa - V.Venkatayapalem,NH (O),Warangal - Khammam (Package - 3),,,VDB Projects ( P) Ltd,,Telangana,EPC,Under implementation,National Highway,163 G,,4,30.83,123.32,Dec-2022,,Mar-2023,,,Dec-2023,,,,,,,,0.00,0.00,0.00,678.00,1105.25,0.00,0.00,0.00,0.00,,35.85,,LEA Associates South Asia Pvt. Ltd.,,Design (km 189.650 - km 220.480);,4L Access Controlled Greenfield Highway section on NH-163G (Warangal- Khammam) from Thallasenkesa village at Design Ch. 189.650 km to V.Vekatayapalem village in Khammam District at Design Ch. 220.480 Km(Package-III)
10,N/07069/01001/AP,Chillakuru Cross Road - Turpu Kanupuru,Bharatmala Pariyojana,Package - 2,Meil Chillakuru Turpu Kanupur Roadways Pvt Ltd,U42102TS2023PTC171093,Megha Engineering & Infrastructures Ltd,,Andhra Pradesh,PPP HAM,Under implementation,National Highway,516 W,,4,36.065,144.26,Mar-2022,,Jan-2023,,,Apr-2023,,Dec-2023,Sep-2024,Dec-2025,,,,0.00,0.00,0.00,686.68,864.20,0.00,0.00,0.00,0.00,,23.96,6,"URS Scott Wilson India Pvt Ltd,Lion Engineering Consultants Pvt Ltd",,Design (km 0.000 - km 23.770) & (km 23.770 - km 35.015);,4L access controlled highway from Chillakuru Cross Road to Turpu Kanupur (Part 1 of Package-II) Km 0+000 (131+500 of NH-16) to Km 23+770 on New NH-516W including six lane flyover and approaches on NH- 16 (Length Km 1.050) and Six Lane access controlled from Turpu kanupuru to Port South Gate (Part 2 of Package-II) Km 23+770 to Km 35+015 on New NH-516W in the State of Andhra Pradesh on HAM Mode under Bharatmala Pariyojana Phase I.
